no.,original SMILES,final SMILES,exp VDss (L/kg),pred VDss (L/kg),exp CL (mL/min/kg),pred CL (mL/min/kg),exp t1/2 (h),pred t1/2 (h),exp fu,pred fu,exp logVDss,pred logVDss,exp logCL,pred logCL,exp logt1/2,pred logt1/2,exp logfu,pred logfu
374,3C)O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5C[C@@H](O)[C@]7(C)[C@H](CC[C@]67O)C8=CC(=O)OC8)C4COC1=C2O[C@H]3[C@@H](O)CC[C@H]4[C,@@H](O)C[C@@H](O[C@@H]3C)O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@H]5C[C@@H](O)[C@]7(C)[C@H](CC[C@]67O)C8=CC(=O)OC8)C4COC1=C2O[C@H]3[C@@H](O)CC[C@H]4[C@H]5,4.1,1.62,1.7,0.92,38,26.79,0.7,0.25,0.61,0.21,0.23,-0.04,1.58,1.43,-0.15,-0.61
375,@H]5CC(=C2[C@@]34CCN5C)C=C1CC(C)C[C@@H]1N2C(=O)[C@](C)(NC(=O)[C@@H]3C[C@H]4[C@@H](CC5=C[NH]C6=,CC(=C2[C@@]34CC[NH+]5C)C=C1CC(C)C[C@@H]1N2C(=O)[C@](C)(NC(=O)[C@@H,1.07,1.77,4.21,6.22,3.42,4.93,,,0.03,0.25,0.62,0.79,0.53,0.69,,
376,C5C4=CC=C6)N(C)C3)O[C@@]2(O)[C@@H]7CCCN7C1=OCN1C[C@@H](C[C@H]2[C@H]1CC3=C[NH]C4=CC=CC2=C34)C(=O)N[C@]5(C)O[C@]6(,]3C[C@H]4[C@@H](CC5=C[NH]C6=C5C4=CC=C6)[NH+](C)C3)O[C@]2(O)[C@@H]7CCCN7C1=OC[NH+]1C[C@@H](C[C@@H]2[C@H]1CC3=C[NH]C4=C3C2=CC=C4)C(=O)N[C@]5(C)O[C@@]6(O)[C,4.02,3.20,12.85,8.98,8.84,6.58,,,0.60,0.50,1.11,0.95,0.95,0.82,,
377,O)[C@@H]7CCCN7C(=O)[C@H](CC8=CC=CC=C8)N6C5=OCC[C@H]1CN2CC[C@H]1C[C@@H]2[C@@,@H]7CCCN7C(=O)[C@H](CC8=CC=CC=C8)N6C5=CC[C@H]1C[NH+]2CC[C@H]1C[C@@H]2[C@@H],0.33,1.29,15.07,11.33,0.55,1.31,0.07,0.06,0.48,0.11,1.18,1.05,-0.26,0.12,-1.15,-1.22
378,H](O)C3=CC=NC4=CC=C(OC)C=C34C[C@H](CCC1=CC=CC=C1)NC[C@H](O)C2,(O)C3=C4C=C(OC)C=CC4=NC=C3C[C@H](CCC1=CC=CC=C1)[NH2+]C[C@H](O)C2=,2.8,4.18,4.2,4.71,5.7,7.01,0.22,0.23,0.45,0.62,0.62,0.67,0.76,0.85,-0.66,-0.63
379,=CC=C(O)C(=C2)C(N)=OCOC1=CC=C(C=C1)[C@@H]2SC3=CC=CC=,CC(=C(O)C=C2)C(N)=OCOC1=CC=C(C=C1)[C@@H]2SC3=C(C=CC=C3)N(,4.8,2.68,29,19.75,3.3,5.95,,,0.68,0.43,1.46,1.30,0.52,0.77,,
380,C3N(CCN(C)C)C(=O)[C@@H]2OC(C)=OC[C@H](C1=CC=CC=N1)C2=C(CCN(C)C)CC,CC[NH+](C)C)C(=O)[C@@H]2OC(C)=OC[C@H](C1=NC=CC=C1)C2=C(CC[NH+](C)C)CC3=,4.1,3.26,13,9.14,5.6,6.07,0.18,0.12,0.61,0.51,1.11,0.96,0.75,0.78,-0.74,-0.92
381,3=C2C=CC=C3CCC1=C2N=C(C=C(NCC3=C[N](=CC=C3)=O,C2C=CC=C3CCC1=C2N=C(C=C(NCC3=C[N+](=CC=C3)[O-,2.16,3.57,4.83,5.55,4.6,6.63,,,0.33,0.55,0.68,0.74,0.66,0.82,,
382,)[N]2N=C1)N4CCCC[C@H]4CCO383CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2C[NH+](C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2CCC(C)(C)NCC(O)COC1=CC=CC=C1C(=O)C,])[N]2N=C1)N4CCCC[C@@H]4CCOCCC(C)(C)[NH2+]C[C@@H](O)COC1=C(C=CC=C1),0.32,0.40,4.65,4.79,2.1,3.08,0.19,0.16,0.49,-0.39,0.67,0.68,0.32,0.49,-0.72,-0.80
384,CC2=CC=CC=C2CN1C(=O)N(C)C2=C([N](CC(O)CO)C=N2)C1,C(=O)CCC2=CC=CC=C2CN1C(=O)N(C)C2=C([N](C[C@H](O)CO)C=N2)C1=,1.2,1.51,11,9.34,1.5,2.37,0.017,0.03,0.08,0.18,1.04,0.97,0.18,0.37,-1.77,-1.54
385,=OOCCN(CCO)C1=NC2=C(N=C(N=C2N3CCCC,OCCN(CCO)C1=NC2=C(N=C(N=C2C(=N1)N3CCCC,0.42,0.53,4.8,4.74,1.7,2.67,,,0.38,-0.28,0.68,0.68,0.23,0.43,,
386,C3)N(CCO)CCO)C(=N1)N4CCCCC4CC(C)N(CCC(C(N)=O)(C1=CC=CC=C1)C2=C,C3)N(CCO)CCO)N4CCCCC4CC(C)[NH+](CC[C@](C(N)=O)(C1=CC=CC=C1)C2=,0.82,0.92,2,2.60,13,11.15,0.009,0.03,0.09,-0.04,0.30,0.41,1.11,1.05,-2.05,-1.50
387,C=CC=N2)C(C)CCN(CCCCCCN(C)C(=O)OC1=C[N+](=CC=C1,NC=CC=C2)C(C)CCN(CCCCCCN(C)C(=O)OC1=C[N+](=CC=C1)C)C(=,0.52,0.65,0.9,1.84,7,6.75,0.16,0.20,0.28,-0.18,-0.05,0.26,0.85,0.83,-0.80,-0.71
388,)C)C(=O)OC2=C[N+](=CC=C2)C[Na+].[Na+].CC(C)(C)[N+]([O-,O)OC2=C[N+](=CC=C2)CCC(C)(C)\[N+]([O-])=C/C1=C(C=C(C=C1)[S]([O-,1,1.22,0.2,0.72,59.8,23.34,,,0.00,0.09,-0.70,-0.14,1.78,1.37,,
389,])=CC1=C(C=C(C=C1)[S]([O-])(=O)=O)[S]([O-])(=O)=OCC(CN1CCN(CCOCCO)CC1)CN2C3=CC=CC,])(=O)=O)[S]([O-])(=O)=OC[C@@H](CN1C2=C(SC3=C1C=CC=C3)C=CC=C2),0.18,0.23,1.35,1.47,3.6,3.39,0.6,0.30,0.74,-0.64,0.13,0.17,0.56,0.53,-0.22,-0.52
390,=C3SC4=C2C=CC=C4,C[NH+]4CC[NH+](CCOCCO)CC4,4.06,5.11,16.27,11.65,3.11,4.57,,,0.61,0.71,1.21,1.07,0.49,0.66,,
391,OC1=CC(=C(O)C=C1)[S](O)(=O)=O,OC1=CC(=C(O)C=C1)[S]([O-])(=O)=O,0.12,0.15,0.87,1.59,2.01,2.05,,,0.92,-0.82,-0.06,0.20,0.30,0.31,,
393,C=C4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C6=CC=CC=C6)C(=C([C@@H](O)C3=O)C5(C)C)CCN(CCOC1=CC=C(N[S](C)(=O)=O)C=C1)CC,5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)C6=CC=CC=C6)C(=C([C@@H](O)C3=O)C5(C)C)CC[NH+](CCOC1=CC=C(N[S](C)(=O)=O)C=C1)CCC2,2.1,2.64,14,10.28,11,13.91,0.04,0.06,0.32,0.42,1.15,1.01,1.04,1.14,-1.40,-1.24
394,C2=CC=C(N[S](C)(=O)=O)C=C2O=C1CN2[C@@H]3CC(C[C@H]2CC1C3)OC(,=CC=C(N[S](C)(=O)=O)C=C2O=C1C[NH+]2[C@@H]3CC(C[C@H]2CC1C3)OC(=,3.3,2.62,5.2,5.62,8.1,6.84,0.36,0.24,0.52,0.42,0.72,0.75,0.91,0.83,-0.44,-0.62
395,=O)C4=C[NH]C5=CC=CC=C45,O)C4=C[NH]C5=C4C=CC=C5,2,2.52,180,64.90,0.13,0.49,0.49,0.35,0.30,0.40,2.26,1.81,-0.89,-0.31,-0.31,-0.45
396,C=CC=C45)CC3)C(=O)NC2=C1,5=C4C=CC=C5)CC3)C(=O)N2,3.4,2.70,9.5,7.03,7.5,6.81,0.082,0.06,0.53,0.43,0.98,0.85,0.88,0.83,-1.09,-1.24
397,NCCC1=CC(=C(O)C=C1)OC[C@H](O)[C@H]1C2[C@H](C)C(=C(N2C1=,[NH3+]CCC1=CC(=C(O)C=C1)OC[C@H](O)[C@H]1[C@H]2[C@H](C)C(=C(N2C1=O,0.74,0.93,65.9,32.24,0.42,0.90,0.87,0.83,0.13,-0.03,1.82,1.51,-0.38,-0.04,-0.06,-0.08
398,O)C(O)=O)S[C@H]3CN[C@H](CN[S](N)(=O)=O)C3CCN1CC(CCN2CCOCC2)C(C1=O)(C3=CC=C,)C([O-])=O)S[C@H]3C[NH2+][C@H](CN[S](N)(=O)=O)C3CCN1C[C@@H](CC[NH+]2CCOCC2)C(C1=O)(C3=,0.23,0.29,3.26,2.88,1.2,1.68,0.92,0.78,0.64,-0.54,0.51,0.46,0.08,0.23,-0.04,-0.11
399,C=C3)C4=CC=CC=C4COC1=CC2=NC(=NC(=C2C=C1OC)N)N3CC,CC=CC=C3)C4=CC=CC=C4COC1=C(OC)C=C2C(=NC(=NC2=C1)N3CCN(CC3)C,1.2,1.46,5.3,5.31,4.1,4.86,,,0.08,0.16,0.72,0.72,0.61,0.69,,
400,N(CC3)C(=O)C4COC5=CC=CC=C5O4CN(C)CCC=C1C2=CC=CC=C2COC3=CC=CC,(=O)[C@H]4COC5=C(O4)C=CC=C5)NC[NH+](C)CC\C=C1\C2=C(COC3=C1C=CC=C3)C=C,1.3,0.93,1.6,1.94,10,7.71,0.017,0.03,0.11,-0.03,0.20,0.29,1.00,0.89,-1.77,-1.55
401,=C13C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N2,C=C2C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N2C=C(F),12,6.79,14,12.07,15,11.56,0.2,0.17,1.08,0.83,1.15,1.08,1.18,1.06,-0.70,-0.76
402,C=C(F)C(=O)NC2=OCN1C(=O)N(C)C2=C([N](CC3OCCO3)C=N2),C(=O)NC2=O,0.28,0.35,11,7.01,0.35,0.73,0.61,0.70,0.55,-0.45,1.04,0.85,-0.46,-0.14,-0.21,-0.15
403,C1=OCOC1=CC=CC2=C1C(=O)C3=C(O)C4=C(C[C,CN1C(=O)N(C)C2=C([N](CC3OCCO3)C=N2)C1=OCOC1=C2C(=O)C3=C(C(=C4C[C@](O)(C[C@H](O[,1.03,0.85,6.83,6.59,1.66,2.11,,,0.01,-0.07,0.83,0.82,0.22,0.32,,
404,@](O)(C[C@@H]4O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)C(=O)CO)C(=C3C2=O)OC[C@@H]1[C@H]2[C@H](O)[C@H]3[C@H],C@H]5C[C@H]([NH3+])[C@H](O)[C@H](C)O5)C4=C3O)C(=O)CO)O)C(=O)C2=CC=C1C[C@H]1[C@H]2[C@H](O)[C@@H]3[C@H]([NH+],22,27.67,15,18.59,32,22.98,0.28,0.19,1.34,1.44,1.18,1.27,1.51,1.36,-0.55,-0.72
405,(N(C)C)C(=C(C(N)=O)C(=O)[C@@]3(O)C(=C2C(=O)C4=C(O)C=CC=C14)O)OCCCCCCCCOCCOC(=O)CN(CC(O)=O)C1=C,(C)C)C(=C(C(N)=O)C(=O)[C@@]3(O)C(=C2C(=O)C4=C1C=CC=C4O)[O-])[O-]CCCCCCCCOCCOC(=O)CN(CC([O-,0.69,0.87,0.46,0.82,14,11.36,0.12,0.19,0.16,-0.06,-0.34,-0.09,1.15,1.06,-0.92,-0.73
406,C=CC=C1OCCOC2=CC=CC=C2N(CC(O)=O)CC(=O)OCCOCCCCCCCCCON=C(C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C([O-,])=O)C1=C(OCCOC2=C(C=CC=C2)N(CC([O-])=O)CC(=O)OCCOCCCCCCCC)C=CC=C1CO\N=C(\C(=O)N[C@H]1[C@@H]2SCC(=C(N2C1=O)C([O-,1.1,0.90,14,8.19,3.5,3.30,,,0.04,-0.04,1.15,0.91,0.54,0.52,,
407,])=O)C[N+]3=CC=C(C=C3)C4=CN=CO4)C5=CSC(=N5)NCCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O),])=O)C[N+]3=CC=C(C=C3)C4=CN=CO4)C5=CSC(=N5)NCCCC[NH+](CCCC)CCCOC1=CC=C(C=C1)C(=O)C2,0.22,0.28,1.76,2.02,1.78,2.60,,,0.66,-0.56,0.25,0.30,0.25,0.42,,
408,C2=C(CCCC)OC3=C2C=C(N[S](C)(=O)=O)C=C3FC1=CC=C(C=C1)C(=O)CCCN2CCC(=CC2)N,=C(CCCC)OC3=C2C=C(N[S](C)(=O)=O)C=C3FC1=CC=C(C=C1)C(=O)CCC[NH+]2CCC(=CC2)N3,20,15.89,33.33,15.06,16,10.92,0.02,0.01,1.30,1.20,1.52,1.18,1.20,1.04,-1.70,-1.84
409,3C(=O)NC4=C3C=CC=C4CCOC1=CC=C(C=C2NCCC3=CC(=C(OCC)C,C(=O)NC4=C3C=CC=C4CCOC1=C(OCC)C=C(C=C1)\C=C2\NCCC3=C2C=C(,1.41,1.78,8.92,6.67,1.9,3.47,,,0.15,0.25,0.95,0.82,0.28,0.54,,
410,=C23)OCC)C=C1OCCCNCC[C@H](OC1=CC=CC2=C1C=CC=C2)C,OCC)C(=C3)OCCC[NH2+]CC[C@H](OC1=C2C=CC=CC2=CC=C1)C3,1.9,1.51,3.5,4.62,9.3,8.90,0.12,0.07,0.28,0.18,0.54,0.66,0.97,0.95,-0.92,-1.13
411,3=CC=CS3COC1=CC=CC2=C1[C@H](CO)N3[C@@H](,=CC=CS3COC1=C2[C@H](CO)[NH+]3[C@@H](CC2=CC=C1),,,8.57,8.24,12,11.80,0.04,0.06,,,0.93,0.92,1.08,1.07,-1.40,-1.25
412,C2)[C@H]4[C@H](C[C@@H]([C@H]3C#N)N4C)C(O)=OCC(=N)N1CC[C@@H](C1)OC2=CC=C(C=C2),[C@H]4[C@H](C[C@@H]([C@H]3C#N)[NH+]4C)C([O-])=OCC(=[NH2+])N1CC[C@@H](C1)OC2=CC=C(C=C2)[,0.23,0.29,3.06,3.58,1.52,2.06,,,0.64,-0.54,0.49,0.55,0.18,0.31,,
413,[C@H](CC3=CC=C4C=CC(=CC4=C3)C(N)=N)C(O)=OCC(C)[C@@H](C=C(C)C(O)=O)N(C)C(=O)[C,C@@H](CC3=CC4=CC(=CC=C4C=C3)C(N)=[NH2+])C([O-])=OCC(C)[C@@H](\C=C(/C)C([O-,1.55,1.45,1.86,2.18,24.02,12.84,,,0.19,0.16,0.27,0.34,1.38,1.11,,
415,@@H](NC(=O)[C@H]1CCCCN1C(C)C)C(C)(C)C,])=O)N(C)C(=O)[C@@H](NC(=O)[C@H]1CCCC[NH+]1C(C)C)C(C)(C)C,1.26,1.00,0.97,1.57,17.5,8.99,,,0.10,0.00,-0.01,0.20,1.24,0.95,,
416,CC1=NN(C(=O)C1)C2=CC=CC=C2OCC(CO)NN1C(=O)C2=C(C1=O)C3=C([N]([C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[,CC1=NN(C(=O)C1)C2=CC=CC=C2OCC(CO)NN1C(=O)C2=C3C(=C4[N]([C@@H]5O[C,0.23,0.46,1.42,1.89,2.36,3.35,0.89,0.63,0.64,-0.33,0.15,0.28,0.37,0.52,-0.05,-0.20
417,C@H]4O)C5=CC(=CC=C35)O)C6=C2C7=CC=C(O)C=C7[NH]6CN1CCC2=C(C1)SC(=N2)C(=O)N[C@@H]3C,@H](CO)[C@@H](O)[C@H](O)[C@@H]5O)C6=C(C=CC(=C6)O)C4=C2C1=O)[NH]C7=CC(=CC=C37)OCN(C)C(=O)[C@H]1CC[C@H](NC(=O)C(=O)NC2=N,1.45,1.15,25.3,11.42,4.01,5.66,,,0.16,0.06,1.40,1.06,0.60,0.75,,
418,[C@H](CC[C@@H]3NC(=O)C(=O)NC4=NC=,H+](C)CC4)S3,1.53,1.64,5.19,4.93,6.7,6.35,0.5,0.25,0.18,0.21,0.72,0.69,0.83,0.80,-0.30,-0.61
419,CC[N+](C)(C)C1=CC=CC(=C1)OCN1CCC[C@@H]1CC2=C[NH]C3=CC=C(CC,CC[N+](C)(C)C1=CC(=CC=C1)OC[NH+]1CCC[C@@H]1CC2=C[NH]C3=C2C=C(CC[,1.1,1.38,9.6,12.36,1.8,3.17,,,0.04,0.14,0.98,1.09,0.26,0.50,,
420,[S](=O)(=O)C4=CC=CC=C4)C=C23CCCCCCCC(=O)N[C@H](CN1CCCC1)[C@H,S](=O)(=O)C4=CC=CC=C4)C=C3CCCCCCCC(=O)N[C@H](C[NH+]1CCCC1)[C@H](,1.6,2.02,5.3,5.91,4.2,4.81,0.15,0.16,0.20,0.30,0.72,0.77,0.62,0.68,-0.82,-0.80
421,](O)C2=CC=C3OCCOC3=C2O=C1N(CCNCCCNCCN2C(=O)C3=C(C2=O)C,O)C2=CC3=C(OCCO3)C=C2O=C1N(CC[NH2+]CCC[NH2+]CCN2C(=O)C3=C(C2,,,20.95,12.27,7.7,5.30,0.21,0.16,,,1.32,1.09,0.89,0.72,-0.68,-0.81
422,4=CC=CC=C4C=C3)C(=O)C5=C1C=CC6=CC=CC=C56CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@,=O)C4=CC=CC=C4C=C3)C(=O)C5=C6C=CC=CC6=CC=C15CC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C,12,9.53,5.7,4.23,52.6,35.80,,,1.08,0.98,0.76,0.63,1.72,1.55,,
423,@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,2,1.59,22,12.45,4.7,5.65,0.01,0.02,0.30,0.20,1.34,1.10,0.67,0.75,-2.00,-1.71
424,C1CN(CCN1)C2=C3OCCOC3=CC=C2C[C@H](N[C@@H](CCC1=CC=CC=C1)C(O),C1CN(CC[NH2+]1)C2=C3OCCOC3=CC=C2C[C@H]([NH2+][C@@H](CCC1=CC=CC=C1)C([O-,3.6,2.86,8,7.08,8.2,4.56,,,0.56,0.46,0.90,0.85,0.91,0.66,,
425,=O)C(=O)N2CCC[C@H]2C(O)=OCOC1=CC=C(C[C@H](NC(=O)CC(C)(C)N)C(=O)N[C@@H](CC2=C[NH]C=N2)C(=O)N[C,])=O)C(=O)N2CCC[C@H]2C([O-])=OCOC1=CC=C(C[C@H](NC(=O)CC(C)(C)[NH3+])C(=,0.38,0.48,1.6,1.83,39,13.49,0.62,0.49,0.42,-0.32,0.20,0.26,1.59,1.13,-0.21,-0.31
426,@@H](CC3CCCCC3)[C@@H](O)[C@@H](O)CC(C)C)C=C1COC1=CC=C(C=C1)C(=O)NC2=CC=CC=C2C,O)N[C@@H](CC2=C[NH]C=N2)C(=O)N[C@@H](CC3CCCCC3)[C@@H](O)[C@@H](O)CC(C)C)C=C1COC1=CC=C(C=C1)C(=O)NC2=C(CC[C@H]3CCCC,7.5,5.96,0.45,1.09,1.72,2.42,0.07,0.07,0.88,0.78,-0.35,0.04,0.24,0.38,-1.15,-1.16
427,CC3CCCCN3CNN=C1NN=C2CCN(CC2=C1)C(=O)C3=CC=C,[NH+]3C)C=CC=C2,2.2,2.77,13,9.71,2.6,3.95,0.26,0.18,0.34,0.44,1.11,0.99,0.41,0.60,-0.59,-0.73
428,C=C3CC1=CC(=C(C=C1C(=O)NC(N)=N)[S](C)(=O),N\N=C1\NN=C2CCN(CC2=C1)C(=O)C3=CC=CC=C3CC1=C(C=C(C(=C1)[N]2C=CC=C2)[S](C)(=O)=O)C(,2.2,1.75,13,10.00,5.6,3.47,,,0.34,0.24,1.11,1.00,0.75,0.54,,
429,=O)[N]2C=CC=C2CCN1C=C(C(O)=O)C(=O)C2=CC(=C(N=C12),=O)NC(N)=NCCN1C=C(C([O-,1.1,0.88,8.2,4.09,2.2,2.78,,,0.04,-0.05,0.91,0.61,0.34,0.44,,
430,N3CCNCC3)F431CSC1=CC=C(C=C1)C(=O)C2=C(C)NC(=O)N2,])=O)C(=O)C2=C1N=C(N3CC[NH2+]CC3)C(=C2)FCSC1=CC=C(C=C1)C(=O)C2=C(C)NC(=O)N2,2,1.55,5.4,4.03,5.1,5.54,0.8,0.70,0.30,0.19,0.73,0.60,0.71,0.74,-0.10,-0.16
432,CCCN1C(=O)NC(=O)C2=C1[NH]C=N2CCN(CC)C(=O)C(=CC1=CC(=C(O)C(=C1)[N],CCCN1C(=O)NC(=O)C2=C1[NH]C=N2CCN(CC)C(=O)\C(=C/C1=CC(=C(O)C(=C1)O)[N+]([,0.63,0.82,4,3.65,1.8,2.27,0.55,0.64,0.20,-0.08,0.60,0.56,0.26,0.36,-0.26,-0.19
433,(=O)=O)O)C#NCCOC1=CC(=CC(=C1[N]2C=CC=C2)OCC)CC,O-])=O)C#NCCOC1=C([N]2C=CC=C2)C(=CC(=C1)CC3=C(N)N=,0.27,0.34,12,7.60,2.4,2.59,0.02,0.04,0.57,-0.47,1.08,0.88,0.38,0.41,-1.70,-1.40
434,3=C(N)N=C(N)N=C3COC1=CC=CC2=C1C(=O)C3=C(O)C4=C(C[C@](O)(C[C@@H]4O[C@H]5C[C@H](N)[C@,C(N)N=C3)OCCCOC1=C2C(=O)C3=C(C(=C4C[C@](O)(C[C@H](O[,2.5,1.99,3.5,4.18,9.4,6.67,0.12,0.10,0.40,0.30,0.54,0.62,0.97,0.82,-0.92,-1.01
435,@H](O)[C@H](C)O5)C(=O)CO)C(=C3C2=O)CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H],C@H]5C[C@@H]([NH3+])[C@@H](O)[C@H](C)O5)C4=C3O)C(=O)CO)O)C(=O)C2=CC=C1CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC=C,45,29.98,20,19.57,36,21.66,0.25,0.17,1.65,1.48,1.30,1.29,1.56,1.34,-0.60,-0.76
436,3CC=C4C=C(CC[C@]4(C)[C@H]3CC[C@]12C)C(O)=O437CCCCC1=NC=C(C=C(CC2=CC=CS2)C(O)=O)NC(=N)NCCCC[C@@H]1NC(=O)CCSSC[C@H](NC(=O)[C@@H]2CCCN2C(=O)C(CC3=C[,4C=C(CC[C@]4(C)[C@H]3CC[C@]12C)C([O-])=OCCCCC1=NC=C(\C=C(/CC2=CC=CS2)C([O-NC(=[NH2+])NCCCC[C@@H]1NC(=O)CCSSC[C@H](NC(=O)[C@@H]2CCCN2C(=O)[C@@H](CC3=C[,0.54,0.67,0.33,0.66,27,13.32,0.03,0.03,0.27,-0.17,-0.48,-0.18,1.43,1.12,-1.52,-1.58
439,NH]C4=CC=CC=C34)NC(=O)[C@H](CC(O)=O)NC(=O)CNC1=O)C(N)=OCN(C)[C@H]1[C@@H]2C[C@@H]3CC4=C(F,NH]C4=C3C=CC=C4)NC(=O)[C@H](CC([O-])=O)NC(=O)CNC1=O)C(N)=OC[NH+](C)[C@H]1[C@@H]2C[C@@H]3CC4=C(C(=,0.17,0.22,1.2,1.52,4.2,3.04,0.75,0.35,0.77,-0.66,0.08,0.18,0.62,0.48,-0.12,-0.46
440,)C=C(NC(=O)CN5CCCC5)C(=C4C(=O)C3=C(O)[C@]2(O)C(=O)C(=C1O)C(N)=O)OCN1C[C@@H](C=C2[C@H]1CC3=C[NH]C4=CC=CC2=C34)C(=O)N[C@]5(C)O[C@@]6(O),C(NC(=O)C[NH+]5CCCC5)C=C4F)O)C(=O)C3=C([O-])[C@]2(O)C(=O)C(=C1[O-])C(N)=OC[NH+]1C[C@@H](C=C2[C@H]1CC3=C[NH]C4=C,2.3,1.83,3.71,3.06,,,0.18,0.20,0.36,0.26,0.57,0.49,,,-0.74,-0.71
441,[C@@H]7CCCN7C(=O)[C@H](CC8=CC=CC=C8)N6C5=OCO[C@H]1[C@@H](C[C@H](O)CN)O[C@H]2C[C@H]3O[C@@H](CC[C@@H]4O[C@@H](CC[C@@]56C[C@H]7O[C@@H]8[C@@H],3C2=CC=C4)C(=O)N[C@@]5(C)O[C@@]6(O)[C@H]7CCCN7C(=O)[C@@H](CC8=CC=CC=C8)N6C5=OCO[C@H]1[C@@H](C[C@H](O)C[NH3+])O[C@H]2C[C@H]3O[C@@H](CC[C@@H]4O[C@H](CC[C@,3.6,2.86,15,11.28,2.1,2.42,0.02,0.03,0.56,0.46,1.18,1.05,0.32,0.38,-1.70,-1.53
442,(O[C@H]9CC[C@H](CC(=O)O[C@H]12)O[C@@H]9[C@@H]8O5)[C@H]7O6)CC4=C)C[C@@H](C)C3=CCOCCOC1=C(OCCOC)C=C2C(=NC=NC2=C1,@]56C[C@H]7O[C@@H]8[C@@H](O[C@H]9CC[C@H](CC(=O)O[C@H]12)O[C@@H]9[C@@H]8O5)[C@H]7O6)CC4=C)C[C@@H](C)C3=CCOCCOC1=C(OCCOC)C=C2C(=NC=NC2=C1)NC3=,1.46,1.16,0.75,1.38,37.8,17.87,0.43,0.28,0.16,0.06,-0.12,0.14,1.58,1.25,-0.37,-0.55
443,)NC3=CC(=CC=C3)C#CC[C@@H](O)[C@@H]1[C@H]2[C@@H](C),CC(=CC=C3)C#CC[C@@H](O)[C@H]1[C@@H]2[C@@H](C)C(=C(N2C1=O)C([O-,0.77,0.97,1.69,2.45,6.5,7.17,0.07,0.06,0.11,-0.01,0.23,0.39,0.81,0.86,-1.15,-1.25
444,C(=C(N2C1=O)C(O)=O)S[C@@H]3CN[C@@H](C3)C(=O)NC4=CC=CC(=C4)C(O)=OCC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C),])=O)S[C@@H]3C[NH2+][C@@H](C3)C(=O)NC4=CC(=CC=C4)C([O-])=OCC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C,0.12,0.15,0.45,0.81,3.8,2.86,0.1,0.15,0.92,-0.82,-0.35,-0.09,0.58,0.46,-1.00,-0.83
445,C[C@@H]([C@H]3O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)OCOC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=,@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)[NH+](C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)OCOC(=O)CCC1=CC=C(OC[C@H](O)C[NH2+]C(C)C),0.95,1.70,5.6,4.07,2,2.85,0.1,0.16,0.02,0.23,0.75,0.61,0.30,0.45,-1.00,-0.79
446,C1COC1=CC2=C([NH]C(=N2)[S@](=O)CC3=C(,C=C1COC1=CC2=C([NH]C(=N2)[S@](=O)CC3=C(C)C(=C,1.2,1.51,290,59.63,0.15,0.52,0.59,0.56,0.08,0.18,2.46,1.78,-0.82,-0.29,-0.23,-0.25
447,C)C(=C(C)C=N3)OC)C=C1C[C@]12CC[C@H]3[C@@H](CCC4=CC(=CC,(C)C=N3)OC)C=C1C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(=C4),0.2,0.38,3.85,4.46,0.83,1.05,0.03,0.06,0.70,-0.42,0.59,0.65,-0.08,0.02,-1.52,-1.21
448,=C34)O)[C@@H]1CC[C@@H]2OC[C@]12CC[C@H]3[C@@H](CCC4=CC(=CC,O)[C@H]1CC[C@@H]2OC[C@@]12CC[C@H]3[C@@H](CCC4=C3C=CC(=C,1.2,1.72,30,19.36,1.7,2.39,0.016,0.04,0.08,0.24,1.48,1.29,0.23,0.38,-1.80,-1.46
